,sepal_length,sepal_width,petal_length,petal_width,species
0,7,3.2,4.7,1.4,versicolor
1,6.4,3.2,4.5,1.5,versicolor
2,6.9,3.1,4.9,1.5,versicolor
3,5.5,2.3,4,1.3,versicolor
4,6.5,2.8,4.6,1.5,versicolor
5,5.7,2.8,4.5,1.3,versicolor
6,6.3,3.3,4.7,1.6,versicolor
7,4.9,2.4,3.3,1,versicolor
8,6.6,2.9,4.6,1.3,versicolor
9,5.2,2.7,3.9,1.4,versicolor
10,5,2,3.5,1,versicolor
11,5.9,3,4.2,1.5,versicolor
12,6,2.2,4,1,versicolor
13,6.1,2.9,4.7,1.4,versicolor
14,5.6,2.9,3.6,1.3,versicolor
15,6.7,3.1,4.4,1.4,versicolor
16,5.6,3,4.5,1.5,versicolor
17,5.8,2.7,4.1,1,versicolor
18,6.2,2.2,4.5,1.5,versicolor
19,5.6,2.5,3.9,1.1,versicolor
20,5.9,3.2,4.8,1.8,versicolor
21,6.1,2.8,4,1.3,versicolor
22,6.3,2.5,4.9,1.5,versicolor
23,6.1,2.8,4.7,1.2,versicolor
24,6.4,2.9,4.3,1.3,versicolor
25,6.6,3,4.4,1.4,versicolor
26,6.8,2.8,4.8,1.4,versicolor
27,6.7,3,5,1.7,versicolor
28,6,2.9,4.5,1.5,versicolor
29,5.7,2.6,3.5,1,versicolor
30,5.5,2.4,3.8,1.1,versicolor
31,5.5,2.4,3.7,1,versicolor
32,5.8,2.7,3.9,1.2,versicolor
33,6,2.7,5.1,1.6,versicolor
34,5.4,3,4.5,1.5,versicolor
35,6,3.4,4.5,1.6,versicolor
36,6.7,3.1,4.7,1.5,versicolor
37,6.3,2.3,4.4,1.3,versicolor
38,5.6,3,4.1,1.3,versicolor
39,5.5,2.5,4,1.3,versicolor
40,5.5,2.6,4.4,1.2,versicolor
41,6.1,3,4.6,1.4,versicolor
42,5.8,2.6,4,1.2,versicolor
43,5,2.3,3.3,1,versicolor
44,5.6,2.7,4.2,1.3,versicolor
45,5.7,3,4.2,1.2,versicolor
46,5.7,2.9,4.2,1.3,versicolor
47,6.2,2.9,4.3,1.3,versicolor
48,5.1,2.5,3,1.1,versicolor
49,5.7,2.8,4.1,1.3,versicolor
