,sentence,sentiment_polarity,sentiment_subjectivity
0,Listening on port: 5555,0.0,0.0
1,Received request from: ('127.0.0.1',-0.75,1.0
2,RT @VincentRK: A lot of COVID deaths in India in young people who should be doing well &amp; recovering. \n\nI am making a plea to doctors in Ind\xe2\x80\xa6',0.1,0.4
3,Son ideas m\xc3\xadas o ya todo est\xc3\xa1 normal aqu\xc3\xad?? El covid?',0.15,0.6499999999999999
4,Welp,0.0,0.0
5,RT @RogerMarshallMD: Last Jan,0.0,0.06666666666666667
6,RT @RealEspartaB: Yo no quiero que Zidane se vaya. Siento que es la persona id\xc3\xb3nea para el puesto de entrenador del Madrid con todo y sus e\xe2\x80\xa6',0.0,0.0
7,RT @nvcmenon: Pinki Aggarwal O+ve Covid patient admitted in \nGandhi Nursing Home\nUttam Nagar Delhi urgently needs plasma from recovered Cov\xe2\x80\xa6',0.0,0.0
8,RT @EIJefeDiego: El mal llamado presidente argument\xc3\xb3 que la vacuna contra COVID-19 no ser\xc3\xada distribuida por la IP para garantizar que acces\xe2\x80\xa6',0.0,0.0
9,"b""RT @MajorPoonia: Listen to India\xe2\x80\x99s pride and world's renowned physician Dr Devi Shetty on India\xe2\x80\x99s Covid management efforts\nHope Rahul Gandh\xe2\x80\xa6""",0.0,0.0
10,RT @DGHisham: Pd 12 Mei,0.0,0.0
11,RT @hvgoenka: A prayer to those suffering due to Covid that Balaji\xe2\x80\x99s healing hand may rest upon you \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/KLSTR3URgv',-0.125,0.375
12,"b""RT @Nivas_K_: Hon'ble CM @mkstalin ",0.0,0.0
13,RT @OpIndia_com: The famous British author JK Rowling\xe2\x80\x99s charitable organization,0.3666666666666667,0.6
14,RT @JBBal75: In India,0.0,0.0
15,"b""@jeffkahrs Oh dang",0.0,0.0
16,RT @OrdoMedicus: Szef szwajcarskiej,0.0,0.0
17,RT @AnandSharmaINC: Wishing all Muslim brothers and sisters happiness and peace on Eid. As  humanity is challenged by the Corona Pandemic,0.7,0.2
18,RT @sakuraline: \xe6\xa8\xaa\xe6\xb5\x9c\xe5\xb8\x82\xe3\x80\x80\xe6\x96\xb0\xe5\x9e\x8b\xe3\x82\xb3\xe3\x83\xad\xe3\x83\x8a\n\xe9\x80\xb1\xe6\x9c\xab\xe3\x81\xa0\xe3\x81\x91\xe6\x9b\xb4\xe6\x96\xb0\xe3\x81\x95\xe3\x82\x8c\xe3\x82\x8b\xe6\xa4\x9c\xe6\x9f\xbb\xe6\x95\xb0\xe3\x80\x81\xe5\x85\x88\xe9\x80\xb1\xe6\x9b\xb4\xe6\x96\xb0\xe3\x81\x95\xe3\x82\x8c\xe3\x81\x9a\xe4\xba\x8c\xe9\x80\xb1\xe9\x96\x93\xe3\x81\xb6\xe3\x82\x8a\xe3\x81\xae\xe5\x85\xac\xe8\xa1\xa8\n\n\xe3\x83\xbb\xe6\xa4\x9c\xe6\x9f\xbb\xe6\x95\xb0\xef\xbc\x9a\xe9\x80\xa3\xe4\xbc\x91\xe4\xb8\xad\xe3\x81\xa0\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\x9f\xe3\x82\x81\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x8c\xe3\x80\x81\xe3\x81\xbe\xe3\x81\x9f\xe6\xb8\x9b\xe5\xb0\x91\n\n\xe3\x83\xbb\xe6\x84\x9f\xe6\x9f\x93\xe7\x8e\x87\xef\xbc\x9a\xe6\x9b\xb4\xe6\x96\xb0\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xaa\xe3\x81\x8b\xe3\x81\xa3\xe3\x81\x9f\xe5\x85\x88\xe9\x80\xb1\xe3\x81\xab7\xef\xbc\x85\xe3\x82\x92\xe8\xb6\x85\xe3\x81\x88\xe3\x81\xa6\xe3\x81\x84\xe3\x81\x9f\n\xe4\xbb\x8a\xe5\x9b\x9e\xe5\x85\xac\xe8\xa1\xa8\xe3\x81\xae5/9\xe6\x99\x82\xe7\x82\xb9\xe3\x81\xa7\xe3\x80\x8111\xef\xbc\x85\xe3\x81\xab\xe6\x80\xa5\xe5\xa2\x97\n\n\xe3\x81\x93\xe3\x81\xae\xe6\x9c\x9f\xe3\x81\xab\xe5\x8f\x8a\xe3\x82\x93\xe3\x81\xa7\xe8\xa1\x8c\xe6\x94\xbf\xe3\x81\xab\xe3\x82\x88\xe3\x82\x8b\xe2\x80\xa6',0.0,0.0
19,@MaluSZinha6 \xc3\x89poca de covid,0.0,0.0
20,Fox News uses pro-choice argument to describe rejecting vaccine and people are pointing out the hypocrisy\xe2\x80\xa6 https://t.co/NmjHe2aSiQ',0.0,0.0
21,RT @Funky8_0: DHS Issues New Advisory,0.13636363636363635,0.45454545454545453
22,RT @sidhant: Japan extends Emergency Grant Aid of $18.5 million to India amid #Covid crisis https://t.co/Qu78GzqSA2',0.0,0.0
23,Pemudik kembali ke Bekasi wajib membawa surat bebas Covid.\n\n#HumasCibarusah\n#ProkesUntukKitaSemua https://t.co/x9LZ8DffbP',0.0,0.0
24,RT @tarun13777: In this corona pandemic,0.0,0.0
25,Un homme de #Stamford promet de se battre apr\xc3\xa8s \xc3\xa9tait amput\xc3\xa9 de sa jambe des semaines apr\xc3\xa8s avoir re\xc3\xa7u le #Vaccin\xe2\x80\xa6 https://t.co/VudEK1gq0e',0.0,0.0
26,RT @iam_chocom: \xe0\xb8\x81\xe0\xb9\x87\xe0\xb8\x84\xe0\xb8\xb7\xe0\xb8\xad #\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb7\xe0\xb9\x88\xe0\xb8\xad\xe0\xb8\x87\xe0\xb9\x80\xe0\xb8\xa5\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb9\x80\xe0\xb8\x8a\xe0\xb9\x89\xe0\xb8\xb2\xe0\xb8\x99\xe0\xb8\xb5\xe0\xb9\x89 \xe0\xb8\xad\xe0\xb8\xad\xe0\xb8\x81\xe0\xb8\x82\xe0\xb9\x88\xe0\xb8\xb2\xe0\xb8\xa7\xe0\xb9\x81\xe0\xb8\xa5\xe0\xb9\x89\xe0\xb8\xa7\xe0\xb9\x80\xe0\xb8\xa3\xe0\xb8\xb5\xe0\xb8\xa2\xe0\xb8\x9a\xe0\xb8\xa3\xe0\xb9\x89\xe0\xb8\xad\xe0\xb8\xa2\xe0\xb8\x95\xe0\xb9\x89\xe0\xb8\xb0 https://t.co/1jWhtq6Nk,0.0,0.0
27,RT @amitmalviya: History of vaccines and when they came to India.\n\nRotavirus\nWorld \xe2\x80\x931998\nIndia \xe2\x80\x932015\n\nJapanese Encephalitis\nWorld \xe2\x80\x931930s\nIn\xe2\x80\xa6',0.0,0.0
28,RT @vegsource: Hospital in Iowa: 100% of Covid patients are fully vaccinated. https://t.co/5Ombq1j34Z',0.0,0.0
